programme_operator,manufacturer,module_power_Wp,source,name,version,declared_unit,dataset_uuid,module_area_m2,GWP_total_A1A3_per_DU_kgCO2e
,,,Environdec via ECO,Photovoltaic solar panel - Midsummer WAVE,,m2,0927b4bb-d985-49b6-7233-08da598ce856,0.0243,
,ASTRONERGY,,Environdec via ECO,Astronergy Photovoltaic Modules CHSM72M-HC,,piece,11cca4af-5933-4079-9c11-08dbdfa8f0c9,,
,WIN WIN,,Environdec via ECO,EPD of WIN WIN Mono Crystalline Silicon Photovoltaic (PV) Modules,,piece,1242cadf-a3d7-490e-240b-08dd1f52dca0,,
,,,Environdec via ECO,"Mono-crystalline Double glass, N-Type, solar photovoltaic modules",,piece,13dfc1b3-de34-465e-b1af-401b469408c6,,
,,,Environdec via ECO,Environmental Product Declaration for Photovoltaic Modules,,piece,179469d7-a965-4409-984d-08ddc2a25fde,,
,Maxeon Solar Technologies, Ltd.,,Environdec via ECO,Maxeon 3 Solar Panel,,piece,18175c31-579b-4c40-0985-08db352800e9,
,,,Environdec via ECO,"Mono-crystalline Single glass, N-Type, solar photovoltaic modules",,piece,1d5e4e94-46f3-4a5d-b1ae-401b469408c6,,
,Wuxi Suntech Power Co., Ltd.,,Environdec via ECO,Ultra V mini mono-facial PV module,,W,264b5fc7-529c-4468-8f6b-08da6b72940b,
,Wuxi Suntech Power Co., Ltd.,,Environdec via ECO,Ultra V mono-facial PV module,,W,26ec1997-61f1-408d-8f6d-08da6b72940b,
,Maxeon Solar Technologies, Ltd.,,Environdec via ECO,Maxeon 6 Solar Panel,,piece,2d3b45d5-c741-412a-0986-08db352800e9,
,Wuxi Suntech Power Co., Ltd.,,Environdec via ECO,Ultra X mono-facial PV module,,W,31f6d090-5465-4c62-8f6a-08da6b72940b,
,Wuxi Suntech Power Co., Ltd.,,Environdec via ECO,Ultra V bifacial PV module,,W,3965f216-9d43-4109-8f6c-08da6b72940b,
,,,Environdec via ECO,Photovoltaic solar panel - Midsummer BOLD,,m2,45490aa5-3593-49e5-7234-08da598ce856,0.0088,
,,,Environdec via ECO,Photovoltaic Module,,piece,45a9950e-7d23-4d44-1193-08dcd62f77c6,,
,Wuxi Suntech Power Co., Ltd.,,Environdec via ECO,Ultra X bifacial PV module,,W,573925a3-10a9-42d7-8f69-08da6b72940b,
,,,Environdec via ECO,"Mono-crystalline Single glass, P-Type, solar photovoltaic modules",,piece,57806c91-72d8-421b-b1ad-401b469408c6,,
,Maxeon Solar Technologies, Ltd.,,Environdec via ECO,Maxeon 5 Solar Panel,,piece,61b09a25-9c9f-42ce-0984-08db352800e9,
,Mission Solar Energy,,Environdec via ECO,MSE PERC 60 (300-315W),,m2,61b959c2-f599-41f3-8b65-08dbf92f320d,0.0063,
,Wuxi Suntech Power Co., Ltd.,,Environdec via ECO,Ultra S mono-facial PV module,,W,6b854678-267f-40eb-8f6e-08da6b72940b,
,,,Environdec via ECO,"Mono-crystalline Double glass, P-Type, solar photovoltaic modules",,piece,74769d6b-6309-4a7c-b1ac-401b469408c6,,
,Solitek,,Environdec via ECO,Glass-Glass polycrystalline PV modules,,m2,86433524-6496-4b25-b814-08da598ce856,0.027,
,Mission Solar Energy,,Environdec via ECO,MSE PERC 72 (365-375W),,m2,8b0e056b-114c-4d84-8b66-08dbf92f320d,0.0052,
,Solitek,,Environdec via ECO,SOLID Pro,,m2,8c941b18-e7e7-461e-e5c8-08db5a860b4d,0.018,
,Wuxi Suntech Power Co., Ltd.,,Environdec via ECO,Hi-Spec mono-facial PV module,,W,98b68abf-045a-4d58-8f6f-08da6b72940b,
,,,Environdec via ECO,Photovoltaic solar panel - Midsummer SLIM,,m2,9ec15c63-ddc0-4ec0-7235-08da598ce856,0.01,
,,,Environdec via ECO,Photovoltaic solar panel,,m2,a1660b22-e22d-42c8-7232-08da598ce856,0.0089,
,REC Solar,,Environdec via ECO,REC Alpha Pure-R Series,,W,b08a337d-5995-463f-4e35-08db41b28a11,,
,REC Solar,,Environdec via ECO,REC TwinPeak 5 Series,,W,b455a80e-a296-4491-4e36-08db41b28a11,,
,REC Solar,,Environdec via ECO,REC Alpha Pure Series,,W,c5846e97-f2d8-4e29-4e34-08db41b28a11,,
,,,Environdec via ECO,Photovoltaic Modules,,W,c5c937be-ec1b-4968-984e-08ddc2a25fde,,
,Solitek,,Environdec via ECO,Glass-Glass monocrystalline PV modules,,m2,d7146c77-49a8-4c67-b815-08da598ce856,0.0259,
,,,Environdec via ECO,Photovoltaic Module,,piece,da64f46a-2852-437e-094e-08dcf134987a,,
,Solitek,,Environdec via ECO,Glass-Foil monocrystalline PV modules,,m2,e3261924-429a-457f-b816-08da598ce856,0.0259,
,Mission Solar Energy,,Environdec via ECO,MSE PERC 60 (290-295W),,m2,fc5d2d3d-4c6a-4276-8b64-08dbf92f320d,0.0067,
EPD International (Imported),Tongwei Solar,470,Tongwei Solar.pdf,TWMNH-48HExxx - Monocrystalline 470W,1,Wp,2d960431-5c4c-4194-895c-3b12647c38a9,1.998,0.493
EPD International (Imported),Tongwei Solar,475,Tongwei Solar.pdf,TWMNH-48HWxxx - Monocrystalline 475W,1,Wp,3d531769-5b4a-4396-9608-99d915b8f491,1.998,0.493
EPD International (Imported),Tongwei Solar,475,Tongwei Solar.pdf,TWMNH-48HDxxx - Monocrystalline 475W (Previous Gen),1,Wp,39533326-b046-45c1-82e7-79023a9de79a,1.998,0.493
EPD International (Imported),Tongwei Solar,725,Kiwa 6.pdf,TWMNF-66HD - TNC-G12-66 (725W),1,Wp,cf9434c6-2a3a-4116-a3ec-15bdfab90e7d,3.1,0.409
EPD International (Imported),Tongwei Solar,455,Kiwa 4.pdf,TWMNH-48HD - TNC-G12R-48 (455W),1,Wp,c1b39653-b175-4539-a776-a637c35444d4,2,0.426
EPD International (Imported),Tongwei Solar,630,Kiwa 3.pdf,TWMNH-66HD - TNC-G12R-66 (630W),1,Wp,77d09991-4a4f-46c5-a9d5-2a282945a6a3,2.7,0.437
EPD International (Imported),Tongwei Solar,635,Kiwa 2.pdf,TWMNH-66HS - TNC-G12R-66 (635W),1,Wp,30261095-0e0d-460e-8d93-b27b671e1af4,2.7,0.447
EPD International (Imported),Tongwei Solar,455,Kiwa 5.pdf,TWMNH-48HC - TNC-G12R-48 Fullblack (455W),1,Wp,47420ca5-d9aa-43b5-bc61-4b64f88e10bc,2,0.426
EPD International (Imported),Phono Solar,,NEPD-5712-4981.pdf,Single Glass P-Type - General Series,1,Wp,9393513b-37aa-40f5-ab00-350f96874328,,0.836
EPD International (Imported),Phono Solar,,NEPD-5713-4981.pdf,Double Glass P-Type - General Series,1,Wp,bc160034-7c7a-42f7-8d9f-05b8f7c7e245,,0.815
EPD International (Imported),Midsummer,190,midsummer bold.pdf,BOLD - CIGS Flexible (190W),1,Wp,4a601c51-a6b3-4f1e-987b-7eb8b70cf2ef,1.68,0.113
EPD International (Imported),Midsummer,65,midsummer.pdf,SLIM - CIGS Flexible (65W),1,Wp,52a48844-9d67-42e1-8c44-5d3932244114,0.65,0.101
EPD International (Imported),Win Win Precision,430,Win Precision.pdf,WST-XXXNGXB-D3 - Reference Product (430W),1,Wp,6281c01a-0fc8-4e5e-a793-c21b72e2e489,1.95,0.421
EPD International (Imported),Win Win Precision,435,Win Precision.pdf,WST-XXXNGX-D3 - Variant (435W),1,Wp,904e7ba9-8397-4077-b580-204df2e53860,1.95,0.416
EPD International (Imported),SolarLab,,Solarlab.pdf,BIPV Façade - Customized,1,Wp,d57344d5-f2cc-483b-8729-3f53f590b3ae,,1
EPD International (Imported),SunPower,400,NEPD-3087-1726.pdf,Maxeon 3 - Monocrystalline (400W),1,Wp,65331847-e635-4445-8279-a05c6a249536,1.77,0.342
EPD International (Imported),ML System,,ITB-EPD_444.pdf,BIPV No Coating - Glass-Glass,1,Wp,f6f71440-d377-43b0-a79f-f4eb4f6072e4,,0.742
EPD International (Imported),ML System,,ITB-EPD_444.pdf,BIPV Color Coating - Glass-Glass,1,Wp,b1173068-25f1-426a-9b1b-666f35ed4369,,0.747
EPD International (Imported),Renesola,500,Kiwa.pdf,RS4-460~500 NBG-E1 - 182mm Mono,1,Wp,23586d27-28e9-4e0e-905c-5c236115510e,2.16,0.535
EPD International (Imported),Renesola,545,Kiwa.pdf,RS5-515~545 NBG-E2 - 182mm Mono,1,Wp,f56553ba-5716-481a-81df-6a986047f7fe,2.37,0.535
EPD International (Imported),Renesola,635,Kiwa.pdf,RS5J-610~635 NBG-E1 - 182mm Mono,1,Wp,858e2f8a-852a-4497-b789-f1f83d5119af,2.7,0.535
EPD International (Imported),Renesola,595,Kiwa.pdf,RS6-560~595 NBG-E3 - 182mm Mono,1,Wp,6843121f-f54e-4771-a234-c5eb71c0e4fe,2.58,0.535
EPD International (Imported),Renesola,645,Kiwa.pdf,RS7-610~645 NBG-E2 - 182mm Mono,1,Wp,4f0c8b84-5a14-49d9-b9e3-0621f46f199f,2.8,0.535
EPD International (Imported),Renesola,655,Kiwa.pdf,RS8-610~655 NBG-E1 - 210mm Mono,1,Wp,97abf334-8ecf-464e-9c37-8538b8119fba,2.83,0.535
EPD International (Imported),Renesola,720,Kiwa.pdf,RS9-675~720 NBG-E1 - 210mm Mono,1,Wp,37042ac0-5f89-4e2e-8d66-06e5bf33882d,3.11,0.535
EPD International (Imported),Renesola,450,Kiwa.pdf,RS41-420~450 NBG-E3 - 182mm Mono,1,Wp,2c02d9b2-a844-465d-ac94-415431771057,1.95,0.535
EPD International (Imported),Renesola,460,Kiwa.pdf,RS42J-440~460 NBG-E1 - 182mm Mono,1,Wp,40b3f152-dfb0-4b51-b059-67524290cc06,1.99,0.535
EPD International (Imported),Jolywood,630,Data.pdf,JW-HD156N-182 - N-type Bifacial 630W,1,Wp,42333018-6950-48ca-a4f1-24ad9d213908,2.8,0.443
EPD International (Imported),Jolywood,585,Data.pdf,JW-HD144N-182 - N-type Bifacial 585W,1,Wp,96a3e784-c81d-4d57-845a-c5606ca79254,2.58,0.417
EPD International (Imported),LONGi,420,Longi.pdf,LR5-54HIH - Hi-MO 5 (420W),1,Wp,24b5c143-f969-4e0e-8924-3f0f61bf732c,1.95,0.55
EPD International (Imported),LONGi,420,Longi.pdf,LR5-54HPB - Hi-MO 5 (420W),1,Wp,30b5f22c-6cf4-458d-b57d-3a07c1a9d1c7,1.95,0.55
EPD International (Imported),LONGi,425,Longi.pdf,LR5-54HPH - Hi-MO 5 (425W),1,Wp,f12db535-b78a-47fa-ba25-510158d0c053,1.95,0.55
EPD International (Imported),LONGi,440,Longi.pdf,LR5-54HTB - Hi-MO 5 (440W),1,Wp,880f598b-f4e2-49d5-a6c8-57c08422243e,1.95,0.55
EPD International (Imported),LONGi,450,Longi.pdf,LR5-54HTH - Hi-MO 5 (450W),1,Wp,88279037-d90a-468c-9849-a818758d397c,1.95,0.55
EPD International (Imported),LONGi,510,Longi.pdf,LR5-66HIH - Hi-MO 5 (510W),1,Wp,14830878-f231-4646-98b6-340324c377df,2.37,0.55
EPD International (Imported),LONGi,515,Longi.pdf,LR5-66HPH - Hi-MO 5 (515W),1,Wp,801d6133-a068-425d-be50-7e1d39d4adcc,2.37,0.55
EPD International (Imported),LONGi,665,Longi 2.pdf,LR7-72HVD - Hi-MO 7 (665W),1,Wp,52a13590-39b4-417d-a92e-1c0f488b3054,2.7,0.321
EPD International (Imported),LONGi,670,Longi 2.pdf,LR7-72HVH - Hi-MO 7 (670W),1,Wp,f6479d3a-1e01-480f-9a95-f173435a74e1,2.7,0.332
EPD International (Imported),LONGi,500,Longi 2.pdf,LR7-54HVH - Hi-MO 7 (500W),1,Wp,0e00d45c-4f0e-4b3f-95b8-7a08154c8da6,2.04,0.322
EPD International (Imported),LONGi,495,Longi 2.pdf,LR7-54HVD - Hi-MO 7 (495W),1,Wp,ce81b8fa-36b9-4a13-ad85-e0975ed7e8d0,2.04,0.333
EPD International (Imported),LONGi,500,Longi 2.pdf,LR7-54HVB - Hi-MO 7 (500W),1,Wp,fcc98f54-d956-486a-b9f5-7254dfdb4078,2.04,0.343
EPD International (Imported),Ennogie,130,Ennogie.pdf,ERS-0191 - BIPV 130W,1,Wp,c03e5448-32e3-43bb-b5e8-56f73839f2c0,0.74,0.946
